name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions
SEAPORT HOUSE,https://www.opentable.com/r/seaport-house-new-york,1,TRUE,1,7,4.1,4.3,3.9,4,3.6,Moderate,100,Financial District,"Seafood, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Seafood,1,1,0,0,TRUE,2
Empire Burger House,https://www.opentable.com/r/empire-burger-house-new-york,1,FALSE,1,6,4.4,4.1,4.4,4.3,4.4,Moderate,100,Midtown East,"Burgers, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Counter Seating, Delivery, Non-Smoking, Takeout, Wheelchair Access, Wine",Burgers,1,1,1,1,TRUE,4
El Paso Mexican Restaurants East Harlem,https://www.opentable.com/r/el-paso-mexican-restaurants-east-harlem-new-york,1,FALSE,2,6,4.1,4.3,3.9,3.9,4.1,Moderate,,East Harlem,Contemporary Mexican,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary Mexican,1,1,1,1,TRUE,4
Mila's Fish & Hook,https://www.opentable.com/r/milas-fish-and-hook-new-york,1,FALSE,1,0,,,,,,,,Lower East Side,Italian,Casual Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",Italian,0,0,0,0,TRUE,0
Quality Bistro,https://www.opentable.com/r/quality-bistro-new-york,1,TRUE,2,419,4.7,4.7,4.7,4.8,4.2,Moderate,92,Midtown West,"American, Steakhouse, French",Casual Elegant,Business Casual,Craig Koketsu,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Fireplace, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, View, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
Lena West Village,https://www.opentable.com/r/lena-west-village-new-york,1,FALSE,2,15,4.9,4.8,4.9,4.8,4.8,Quiet,100,West Village,"French, Basque, Wine Bar",Casual Dining,Casual Dress,David Thual,"Beer, Delivery, Happy Hour, Outdoor dining, Weekend Brunch, Wine",French,1,1,1,1,TRUE,4
Hachi Maki,https://www.opentable.com/r/hachi-maki-new-york,1,FALSE,1,9,3.8,3.6,4,4,3.6,Quiet,100,Upper West Side,"Japanese, Ramen, Sushi",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,TRUE,4
Tudor City Steakhouse,https://www.opentable.com/r/tudor-city-steakhouse-new-york,1,FALSE,1,12,4.3,4.2,4.3,4.5,3.8,Quiet,83,Midtown East,"Steakhouse, Seafood, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Wheelchair Access, Wine",Steakhouse,1,1,1,1,FALSE,4
Tito Murphy's,https://www.opentable.com/r/tito-murphys-new-york,1,TRUE,1,229,4.3,4.3,4.2,4.4,4.1,Moderate,91,Theater District / Times Square,"Mexican, Latin / Spanish, South American",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Cocktails, Corkage Fee, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Mexican,1,1,1,1,FALSE,4
Pasta By Hudson,https://www.opentable.com/r/pasta-by-hudson-new-york,1,FALSE,2,0,,,,,,,,Chelsea,Italian,Casual Dining,Business Casual,,"Beer, Cafe, Counter Seating, Delivery, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",Italian,1,0,1,1,TRUE,3
YUCO,https://www.opentable.com/r/yuco-new-york,1,FALSE,3,16,4.6,4.6,4.8,4.5,4.2,Moderate,100,Greenwich Village,"Contemporary Mexican, Mexican, Latin / Spanish",Fine Dining,Business Casual,Christian Ortiz ,"Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Full Bar, Gender Neutral Restroom, Non-Smoking, Wheelchair Access, Wine",Contemporary Mexican,1,0,0,1,TRUE,2
Manhattan Indian Flavor,https://www.opentable.com/r/manhattan-indian-flavor-new-york,1,FALSE,2,0,,,,,,,,Union Square,Indian,Casual Dining,Business Casual,,,Indian,0,0,0,0,TRUE,0
Anār Indian Cuisine,https://www.opentable.com/restaurant/profile/1143472,1,FALSE,1,0,,,,,,,,Upper West Side,"Indian, Vegetarian / Vegan, Pakistani",Casual Dining,Casual Dress,,"Non-Smoking, Wheelchair Access",Indian,1,1,1,1,TRUE,4
Andrews Coffee Shop,https://www.opentable.com/r/andrews-coffee-shop-new-york,1,FALSE,1,6,4.3,4.1,4.7,4.1,4.3,Moderate,100,Garment District / Flower District,"American, Comfort Food, Burgers",Casual Dining,Casual Dress,,"Beer, Cafe, Delivery, Gender Neutral Restroom, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,TRUE,4
